round_index,winner,winning_bid,clearing_price,revenue,efficiency,winner_value,runner_up_value,winner_budget_remaining,notes
1,Rational,7.634395614114556,4.72911996358827,4.72911996358827,1.0,7.634395614114556,6.566860925933544,13.270880036411729,
2,Rational,4.305405861780363,3.9724884516788355,3.9724884516788355,0.0,4.305405861780363,4.8852750946621075,9.298391584732894,
3,Rational,8.889058674429009,8.42767495952238,8.42767495952238,1.0,8.889058674429009,7.49041982506773,0.8707166252105143,
4,Optimist,7.242052587839265,3.7993481783770138,3.7993481783770138,0.0,6.187181126417521,5.721549207381608,14.200651821622987,winner's curse style overbid
5,Optimist,8.61389914323512,1.781473834888836,1.781473834888836,1.0,7.457847311529847,2.4379941636094675,12.419177986734152,winner's curse style overbid
6,Optimist,8.108021797624321,4.8719952795391706,4.8719952795391706,1.0,6.984402104341427,6.180916118930606,7.547182707194981,winner's curse style overbid
7,Optimist,7.547182707194981,6.155602003816456,6.155602003816456,0.0,8.189278006094344,9.215212133491917,1.3915807033785255,
8,Conserver,3.4369127036829203,1.3915807033785255,1.3915807033785255,0.0,4.662329245116541,5.87888686214834,16.608419296621474,
9,Conserver,3.501956235074611,1.3915807033785255,1.3915807033785255,0.0,4.8954401980635724,4.837383505641123,15.216838593242947,
10,Conserver,4.230964014627366,1.3915807033785255,1.3915807033785255,0.0,5.7670179783722615,6.656459387232098,13.825257889864421,
11,Conserver,4.413406230017332,1.3915807033785255,1.3915807033785255,0.0,6.319105753307489,10.202747433525897,12.433677186485895,
12,Conserver,3.9244605967962687,1.3915807033785255,1.3915807033785255,0.0,5.054425708018114,8.021636878143486,11.042096483107368,
13,Conserver,4.574951247798715,1.3915807033785255,1.3915807033785255,0.0,5.8844529843791795,6.5187242479074525,9.650515779728842,
14,Conserver,4.380022507595473,1.3915807033785255,1.3915807033785255,0.0,6.117480930511157,11.207564444652968,8.258935076350316,
15,Conserver,3.197169550895116,1.3915807033785255,1.3915807033785255,0.0,4.499001104972049,6.978356722135443,6.86735437297179,
16,Conserver,5.9758623053762765,1.3915807033785255,1.3915807033785255,0.0,7.344247429711991,5.597625141247949,5.475773669593265,
17,Conserver,4.670602008893905,1.3915807033785255,1.3915807033785255,0.0,5.673961535295911,6.495891948748316,4.084192966214739,
18,Conserver,2.6260887724910438,1.3915807033785255,1.3915807033785255,0.0,3.589321646783745,8.612416764263655,2.6926122628362137,
19,Conserver,2.6926122628362137,1.3915807033785255,1.3915807033785255,0.0,6.055331885488592,6.906049746239868,1.3010315594576882,
20,Optimist,1.3915807033785255,1.3010315594576882,1.3010315594576882,0.0,3.8091807099501693,5.471213008805728,0.09054914392083724,
21,Conserver,1.3010315594576882,0.8707166252105143,0.8707166252105143,0.0,5.019071855340259,3.7204631650422786,0.43031493424717393,
22,Rational,0.8707166252105143,0.43031493424717393,0.43031493424717393,0.0,5.990650765473669,7.831349874929376,0.44040169096334036,
23,Rational,0.44040169096334036,0.43031493424717393,0.43031493424717393,0.0,5.883202967141239,15.297446258157628,0.010086756716166434,
24,Conserver,0.43031493424717393,0.09054914392083724,0.09054914392083724,0.0,5.872320656282779,6.879339818615785,0.3397657903263367,
25,Conserver,0.3397657903263367,0.09054914392083724,0.09054914392083724,0.0,3.3213922631994577,5.422353002754242,0.24921664640549945,
26,Conserver,0.24921664640549945,0.09054914392083724,0.09054914392083724,0.0,5.242512394245009,4.40502419046137,0.15866750248466222,
27,Conserver,0.15866750248466222,0.09054914392083724,0.09054914392083724,1.0,6.973886209244084,6.758380867896928,0.06811835856382498,
28,Optimist,0.09054914392083724,0.06811835856382498,0.06811835856382498,0.0,4.812941043271438,6.298895986307235,0.02243078535701226,
29,Conserver,0.06811835856382498,0.02243078535701226,0.02243078535701226,0.0,5.5796444997795565,5.533013763651593,0.045687573206812715,
30,Conserver,0.045687573206812715,0.02243078535701226,0.02243078535701226,0.0,6.375578525420223,7.13321258046149,0.023256787849800453,
31,Conserver,0.023256787849800453,0.02243078535701226,0.02243078535701226,0.0,7.8668803686861795,5.751915614709056,0.0008260024927881915,
32,Optimist,0.02243078535701226,0.010086756716166434,0.010086756716166434,1.0,12.101585885932417,4.663065320917369,0.012344028640845828,
33,Optimist,0.012344028640845828,0.010086756716166434,0.010086756716166434,0.0,6.075577951563442,4.150462626029107,0.0022572719246793937,
34,Rational,0.010086756716166434,0.0022572719246793937,0.0022572719246793937,1.0,7.192899402910099,4.414794001024596,0.00782948479148704,
35,Rational,0.00782948479148704,0.0022572719246793937,0.0022572719246793937,0.0,5.086068097164061,7.529148919665564,0.0055722128668076465,
36,Rational,0.0055722128668076465,0.0022572719246793937,0.0022572719246793937,0.0,9.829551298477824,6.57345742185521,0.0033149409421282527,
37,Rational,0.0033149409421282527,0.0022572719246793937,0.0022572719246793937,1.0,8.254446772974154,4.681968242235178,0.001057669017448859,
38,Optimist,0.0022572719246793937,0.001057669017448859,0.001057669017448859,0.0,4.634720217285737,4.67790389650045,0.0011996029072305348,
39,Optimist,0.0011996029072305348,0.001057669017448859,0.001057669017448859,0.0,4.141589588315128,5.2876686509298905,0.00014193388978167576,
40,Rational,0.001057669017448859,0.0008260024927881915,0.0008260024927881915,1.0,9.9353658793723,5.5377479606602344,0.0002316665246606675,
